pattern,count,nodes,projected_energy,residual_norm,reachable_rank,candidate_count
side_patch,1,"(128,)",20800.42990308758,0.0014152592829840206,6,96
side_patch,2,"(1, 128)",16251.452031450126,0.000975634564059734,12,96
side_patch,3,"(1, 128, 226)",10319.269496089499,0.00034536349339855417,18,96
side_patch,4,"(1, 50, 128, 226)",5019.910194662948,0.00023072452956901106,24,96
side_patch,5,"(1, 50, 128, 176, 226)",3881.7040000855645,0.00013425777590974727,30,96
side_patch,6,"(1, 50, 113, 128, 176, 226)",2157.9261714042186,7.196889669700204e-05,36,96
side_patch,7,"(1, 50, 113, 128, 176, 192, 226)",3093.898909159028,5.323002299864393e-05,42,96
side_patch,8,"(1, 50, 113, 128, 146, 176, 192, 226)",1858.8260080116763,3.9662311555773375e-05,47,96
corner_wound,1,"(17,)",918.0411485499563,0.0001160858604492641,6,48
corner_wound,2,"(17, 34)",165.12813408886146,2.09051695527001e-05,12,48
corner_wound,3,"(17, 34, 51)",63.67651972633107,8.40082941350881e-06,17,48
corner_wound,4,"(0, 17, 34, 51)",67.50617001328482,6.880984328823418e-06,21,48
corner_wound,5,"(0, 17, 34, 35, 51)",69.9365435392022,5.7060995329814925e-06,27,48
corner_wound,6,"(0, 17, 33, 34, 35, 51)",69.7735725152931,3.5940426851978385e-06,33,48
corner_wound,7,"(0, 17, 19, 33, 34, 35, 51)",29.352526659551394,1.5114163613109532e-06,38,48
corner_wound,8,"(0, 17, 19, 33, 34, 35, 49, 51)",3.6559141649628524,1.1419406724066056e-06,40,48
central_lesion,1,"(119,)",171.7188729681027,0.00018689146824128072,6,36
central_lesion,2,"(119, 136)",46.87631028688761,2.7564876338457356e-05,12,36
central_lesion,3,"(102, 119, 136)",56.353268926039185,2.0324422084811947e-05,18,36
central_lesion,4,"(72, 102, 119, 136)",65.1448781843996,1.715703333492042e-05,24,36
central_lesion,5,"(72, 102, 119, 135, 136)",77.39395654800744,1.446487839050478e-05,30,36
central_lesion,6,"(72, 102, 119, 120, 135, 136)",38.84552540214785,1.1087444198636384e-05,35,36
central_lesion,7,"(72, 102, 119, 120, 135, 136, 153)",36.480459249975475,4.4097908337879064e-06,40,36
central_lesion,8,"(72, 102, 119, 120, 134, 135, 136, 153)",33.96521952928419,3.397750629330677e-06,46,36
