dilution,seed,threshold_rank_1e4,residual_k2,residual_k4,residual_k8,energy_k2,energy_k4,energy_k8
0.0,0,3,0.0001351291598317795,1.580703972941118e-05,1.1362283046289212e-05,498.80372293899455,1531.3349655652464,1141.429589812403
0.0,1,3,0.0001351291598317795,1.580703972941118e-05,1.1362283046289212e-05,498.80372293899455,1531.3349655652464,1141.429589812403
0.0,2,3,0.0001351291598317795,1.580703972941118e-05,1.1362283046289212e-05,498.80372293899455,1531.3349655652464,1141.429589812403
0.0,3,3,0.0001351291598317795,1.580703972941118e-05,1.1362283046289212e-05,498.80372293899455,1531.3349655652464,1141.429589812403
0.0,4,3,0.0001351291598317795,1.580703972941118e-05,1.1362283046289212e-05,498.80372293899455,1531.3349655652464,1141.429589812403
0.1,0,3,0.00015933845187842828,6.507001691204533e-05,7.537133187767319e-07,4496.482769241705,3926.6270797285,3.872734634502879
0.1,1,3,0.0001202674778638996,2.1723256833783887e-05,7.121747473969675e-07,5253.588831583832,2164.3090570095483,9.419988171491282
0.1,2,3,0.00015549863573250633,1.8702264745079434e-05,3.6068902884628634e-07,8489.309038614529,34.39027556088015,3.852878929872948
0.1,3,3,0.00018042700617109555,3.3064623816287384e-05,6.813897676045959e-07,834.4357271346882,120.84688519744108,8.5530568170936
0.1,4,3,0.0001377458281296117,5.7796842725721475e-05,5.539886323233745e-07,14988.567697589826,205.76034427907982,106.3304885787782
0.2,0,3,0.00017096975358744725,2.423486308922831e-05,7.92615848539361e-07,5720.319813849956,45.96673777697085,3.382895953200437
0.2,1,4,0.0003062821864641151,4.132529354547287e-05,2.154518197247481e-06,23414.751005159713,458.66891321868377,6.903475157665398
0.2,2,3,0.00035611300172894253,2.5351079071653276e-05,2.3453291778061258e-07,1165.6946524574707,108.3973268340157,0.4406082776378361
0.2,3,4,0.00025916382332350895,8.53229324788548e-05,4.433034959847308e-07,1809.276271750741,110.31072082743822,5.293429806469786
0.2,4,4,0.00018895722175205887,4.771121212881017e-05,2.9575951840710325e-07,3873.570970759785,163.58811008541448,8.047436042008616
0.3,0,3,0.0002988322830272504,1.8896916108801666e-05,9.241852021800736e-07,10673.893371786628,520.2665289594273,3.5563414040380223
0.3,1,4,0.0004871500448766268,9.239818686576328e-05,9.479800133101108e-06,127.28989729221769,974.0707519631694,1078.31093156647
0.3,2,5,0.0004057876881858408,0.00016806630562765925,2.9529994088449915e-06,3182.278540396409,9658.800505962681,54.659652578646224
0.3,3,5,0.00026673896017633,0.00011031673405441589,1.2077344814947401e-05,2822.601442126478,18600.61041642293,936.5915211623764
0.3,4,5,0.0002954612089658017,0.00011170204819079731,3.22035419885222e-07,3178.5229854033446,3296.830465005526,139.41063375056913
